Vreme,Temperatura,Pritisak,Zvuk,Svetlost,Pritisak,Vlažnost,Komentar
s,°C,kPa,dBA,lx,kPa,%RH,

0,14.2,99.5,44.4,683,100.45,34.1,
0.48,14.2,99.3,74.6,684,100.48,34.1,
0.96,14.2,99.3,60.9,684,100.48,34.0,
1.44,14.2,99.3,64.1,684,100.49,34.0,
1.92,14.2,99.3,65.5,685,100.46,34.0,
2.4,14.2,99.3,63.3,685,100.46,34.0,
2.88,14.2,99.3,40.0,686,100.47,34.0,
3.36,14.2,99.3,40.0,686,100.46,33.9,
3.84,14.2,99.5,40.0,686,100.46,33.9,
4.32,14.2,99.3,40.0,685,100.45,33.9,
4.8,14.2,99.3,40.0,685,100.44,33.9,
5.28,14.2,99.3,46.9,686,100.45,33.9,
5.76,14.2,99.3,69.8,686,100.46,33.9,
6.24,14.2,99.5,62.4,687,100.49,33.9,
6.72,14.2,99.3,62.5,687,100.46,33.8,
7.2,14.2,99.3,42.5,688,100.47,33.9,
7.68,14.2,99.3,41.1,689,100.48,33.8,
8.16,14.2,99.3,63.3,689,100.47,33.8,
8.64,14.2,99.3,77.3,690,100.47,33.8,
9.12,14.2,99.3,49.5,691,100.46,33.8,
9.6,14.1,99.3,46.8,692,100.47,33.8,
10.08,14.1,99.3,59.5,692,100.46,33.8,
10.56,14.1,99.3,40.0,693,100.46,33.8,
11.04,14.1,99.3,45.0,693,100.44,33.8,
11.52,14.1,99.3,49.8,692,100.47,33.8,
12,14.1,99.3,73.1,691,100.48,33.7,
12.48,14.1,99.3,62.0,690,100.46,33.7,
12.96,14.1,99.3,76.3,690,100.51,33.7,
13.44,14.0,99.3,64.6,690,100.48,33.7,
13.92,14.0,99.3,40.0,690,100.48,33.7,
14.4,14.0,99.3,40.0,691,100.44,33.7,
14.88,14.0,99.3,40.0,692,100.46,33.7,
15.36,14.0,99.5,43.0,692,100.44,33.6,
15.84,14.0,99.3,40.9,692,100.44,33.6,
16.32,13.9,99.3,68.4,693,100.45,33.6,
16.8,13.9,99.3,76.8,694,100.51,33.6,
17.28,13.9,99.3,70.4,694,100.49,33.6,
17.76,13.9,99.3,43.0,695,100.49,33.6,
18.24,13.9,99.5,83.4,695,100.44,33.6,
18.72,13.9,99.3,75.2,696,100.45,33.6,
19.2,13.9,99.3,48.3,696,100.48,33.6,
19.68,13.8,99.5,40.0,697,100.49,33.6,
20.16,13.8,99.3,73.8,697,100.47,33.6,
20.64,13.8,99.5,72.9,697,100.48,33.6,
21.12,13.8,99.3,69.0,697,100.45,33.6,
21.6,13.8,99.3,40.0,697,100.47,33.6,
22.08,13.8,99.3,40.0,697,100.47,33.6,
22.56,13.7,99.3,40.0,698,100.49,33.5,
23.04,13.7,99.5,65.2,698,100.47,33.6,
23.52,13.7,99.3,40.0,697,100.46,33.5,
24,13.7,99.3,74.1,697,100.44,33.5,
24.48,13.7,99.3,52.2,697,100.45,33.5,
24.96,13.7,99.5,71.2,697,100.48,33.5,
25.44,13.7,99.3,55.9,697,100.43,33.5,
25.92,13.7,99.5,40.0,676,100.46,33.5,
26.4,13.6,99.3,78.3,700,100.47,33.5,
26.88,13.6,99.3,64.1,662,100.48,33.5,
27.36,13.6,99.5,58.2,626,100.48,33.5,
27.84,13.6,99.3,59.7,606,100.46,33.5,
28.32,13.6,99.3,66.0,599,100.50,33.5,
28.8,13.5,99.3,65.3,596,100.46,33.5,
29.28,13.5,99.3,74.5,595,100.45,33.4,
29.76,13.5,99.5,72.3,596,100.44,33.5,
30.24,13.5,99.3,61.0,596,100.44,33.4,
30.72,13.5,99.3,59.2,594,100.48,33.5,
31.2,13.5,99.5,51.4,542,100.47,33.4,
31.68,13.5,99.3,40.0,521,100.47,33.4,
32.16,13.5,99.3,40.0,543,100.45,33.4,
32.64,13.5,99.3,64.8,576,100.44,33.4,
33.12,13.4,99.5,71.5,588,100.46,33.4,
33.6,13.4,99.3,74.5,594,100.49,33.4,
34.08,13.4,99.5,50.4,597,100.46,33.4,
34.56,13.4,99.5,40.0,599,100.45,33.4,
35.04,13.4,99.3,40.9,598,100.49,33.4,
35.52,13.4,99.5,64.7,566,100.44,33.4,
36,13.4,99.5,63.4,513,100.48,33.4,
36.48,13.4,99.5,50.9,519,100.46,33.4,
36.96,13.3,99.3,48.3,521,100.45,33.4,
37.44,13.3,99.3,69.9,505,100.45,33.4,
